"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,0,0.798243863500299,0,0.15964877270006,0,0,0,0,0.15964877270006,0,0.15964877270006,0.15964877270006,0.15964877270006,4.94911195370186,1.5964877270006,0.15964877270006,2.07543404510078,0,0,0,6.86489722610257,0.798243863500299,1.75613649970066,0,0,4.7894631810018,0,0.638595090800239,1.75613649970066,0.31929754540012,0.798243863500299,1.5964877270006,1.5964877270006,0,0.957892636200359,0.15964877270006,0,0.638595090800239,0.798243863500299,0,0,0.798243863500299
1974,0,1.99016856727765,0,0.132677904485177,0,0.132677904485177,0.132677904485177,0,0,0,0.265355808970353,0.265355808970353,0.132677904485177,7.42996265116989,2.78623599418871,0,2.38820228073318,0,0.132677904485177,0,9.81816493190307,0.39803371345553,2.12284647176283,0.265355808970353,0,5.04176037043671,0.132677904485177,0.663389522425883,1.59213485382212,0,0.265355808970353,0.796067426911059,2.52088018521835,0.132677904485177,0.39803371345553,0.132677904485177,0,0.663389522425883,0.132677904485177,0.132677904485177,0,0.928745331396236
1975,0,1.73956810003212,0,0.115971206668808,0,0.231942413337617,0,0,0.231942413337617,0,0,0.115971206668808,0.69582724001285,4.98676188675876,3.82704982007067,0.115971206668808,3.01525137338901,0,0.115971206668808,0,8.58186929349181,1.04374086001927,2.55136654671378,0.231942413337617,0,4.98676188675876,0.115971206668808,0.927769653350466,1.50762568669451,0.231942413337617,0.463884826675233,1.73956810003212,3.01525137338901,0,0.347913620006425,0.115971206668808,0,0.115971206668808,0.579856033344041,0,0,1.04374086001927
1976,0,1.09955237222927,0,0.109955237222927,0,0.109955237222927,0,0,0.109955237222927,0,0,0.109955237222927,0.769686660560486,4.17829901447121,2.96879140501902,0,2.19910474445853,0,0,0,9.56610563839461,0.32986571166878,3.40861235391072,0.109955237222927,0,5.27785138670047,0.109955237222927,1.09955237222927,0.549776186114633,0.32986571166878,0.32986571166878,1.09955237222927,2.52897045612731,0.109955237222927,0.549776186114633,0,0,0.109955237222927,0.549776186114633,0.109955237222927,0,1.09955237222927
1977,0,1.54214574158484,0,0,0,0.22030653451212,0,0,0.44061306902424,0,0.22030653451212,0,0.11015326725606,5.61781663005906,2.53352514688938,0.11015326725606,2.09291207786514,0,0,0,9.69348751853329,0.33045980176818,2.2030653451212,0.11015326725606,0,4.73659049201058,0,0.66091960353636,0.991379405304541,0.22030653451212,0.66091960353636,0.66091960353636,2.31321861237726,0.22030653451212,0.77107287079242,0.22030653451212,0,0.11015326725606,0.77107287079242,0,0,1.54214574158484
1978,0,2.15803972303718,0,0,0,0.215803972303718,0,0,0.107901986151859,0,0.107901986151859,0.107901986151859,0.215803972303718,4.53188341837808,2.48174568149276,0.107901986151859,3.45286355685949,0,0.107901986151859,0.107901986151859,9.71117875366732,0.755313903063014,2.9133536261002,0.323705958455577,0,6.04251122450411,0.107901986151859,0.863215889214873,1.07901986151859,0.539509930759295,0.215803972303718,1.72643177842975,1.07901986151859,0.215803972303718,0.539509930759295,0.107901986151859,0,0.323705958455577,0.323705958455577,0.215803972303718,0,0.971117875366732
1979,0,1.47247523086308,0.315530406613517,0,0,0.210353604409012,0,0,0.105176802204506,0,0,0,0.210353604409012,5.15366330802078,2.83977365952166,0,2.83977365952166,0,0,0.105176802204506,10.6228570226551,1.15694482424956,2.73459685731715,0.105176802204506,0,5.15366330802078,0,0.525884011022529,1.26212162645407,0.105176802204506,0.315530406613517,0.946591219840552,1.68282883527209,0,0.525884011022529,0,0,0.210353604409012,0.73623761543154,0,0,0.73623761543154
1980,0,1.42785458728883,0,0,0,0.407958453511094,0,0,0,0,0.305968840133321,0,0.407958453511094,4.79351182875536,3.36565724146653,0,2.34576110768879,0,0,0,10.5049301779107,0.815916907022189,2.65172994782211,0,0.203979226755547,4.99749105551091,0,0.611937680266642,0.713927293644415,0.305968840133321,0.305968840133321,2.14178188093325,0.713927293644415,0,0.203979226755547,0,0,0.407958453511094,0.509948066888868,0,0,0.713927293644415
1981,0,1.29781836732453,0,0,0,0.0998321821018867,0.199664364203773,0,0,0.0998321821018867,0,0.199664364203773,0.399328728407547,5.79026656190943,2.79530109885283,0,2.9949654630566,0,0.0998321821018867,0,10.3825469385962,0.59899309261132,2.69546891675094,0.199664364203773,0.29949654630566,4.79194474089056,0,0.499160910509434,1.09815400312075,0.199664364203773,0.698825274713207,0.998321821018867,1.4974827315283,0.199664364203773,0.399328728407547,0.0998321821018867,0,0,0.798657456815094,0,0,0.898489638916981
1982,0,0.975932527928749,0.0975932527928749,0.19518650558575,0,0.0975932527928749,0.0975932527928749,0,0.0975932527928749,0.19518650558575,0.19518650558575,0.0975932527928749,0.292779758378625,5.75800191477962,2.7326110782005,0,2.24464481423612,0,0.0975932527928749,0,11.1256308183877,0.585559516757249,3.122984089372,0.292779758378625,0.975932527928749,4.97725589243662,0,0.292779758378625,1.07352578072162,0.3903730111715,0.292779758378625,1.36630553910025,1.26871228630737,0,0.487966263964375,0.19518650558575,0,0.292779758378625,0.3903730111715,0.0975932527928749,0,1.07352578072162
1983,0,1.05418612518556,0,0.0958351022895964,0,0.287505306868789,0.0958351022895964,0,0.191670204579193,0,0,0.0958351022895964,0.766680818316771,5.2709306259278,1.91670204579193,0,2.39587755723991,0,0,0,11.9793877861996,0.670845716027175,2.01253714808152,0.383340409158386,2.87505306868789,4.31257960303184,0,0.479175511447982,0.670845716027175,0.287505306868789,0.287505306868789,1.24585632976475,2.30004245495031,0.191670204579193,0.575010613737579,0,0,0.0958351022895964,0.383340409158386,0.0958351022895964,0,0.670845716027175
1984,0,1.60790559891646,0,0,0,0.283748046867611,0,0.0945826822892036,0,0.0945826822892036,0.0945826822892036,0,0.662078776024425,4.53996874988177,2.26998437494089,0,3.02664583325451,0,0,0,11.4445045569936,0.472913411446018,2.6483151040977,0.0945826822892036,4.53996874988177,4.16163802072496,0,0.756661458313629,0.945826822892036,0.0945826822892036,0.662078776024425,1.60790559891646,1.41874023433805,0,0.662078776024425,0,0,0.283748046867611,0.283748046867611,0,0,1.04040950518124
