"year","breast","colon.and.rectum","anus,.anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum,.omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non-hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non-epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose,.nasal.cavity.and.middle.ear","pleura","trachea,.mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
1973,0.0872538881944676,4.33977558558817,0,0.222128457575385,0,0.192106440931018,0,0.0872538881944676,1.08342785283597,0,0.286163937885724,0.262945530001596,1.19951989225661,4.81658614508572,3.2690706686034,0.39663623396432,3.05729741604284,0,0.238543256699274,0,6.8833293398291,1.01214891299836,2.92123898124373,0.0872538881944676,0.0872538881944676,5.81601212223289,0.238543256699274,1.49367130432077,2.56024450726582,0.223312322993578,0.476646662631522,1.59926787170848,2.37893312211665,0.785284993750208,4.75963022743662,0.198910049691256,0,0.277736612940266,2.16966786741057,0,0.0640354803103393,1.96632193979546
1974,0,4.8932237588091,0.0531656012903412,0.189095783887605,0.074760041141325,0.273832546617303,0.0927413028952958,0,0.629651490569958,0,0.0791514032099093,0.409762729214567,1.10616972076025,5.17848250898253,3.28327137975669,0.373800205706625,2.96185859136883,0.14952008228265,0.167501344036621,0.074760041141325,7.8496366607002,0.449338430819521,2.7232103842879,0.388168289363583,0,6.01448630421019,0.220666945326962,0.869077881622462,2.71442766015073,0.2990401645653,0.335002688073242,1.34559611181276,3.1825255366958,0.466541508601921,3.35172132039435,0.370187027609612,0.0531656012903412,0.251044109315114,1.51154108790623,0.189095783887605,0,2.17432010785869
1975,0,3.99532337209151,0.0670231798561979,0.148239519868909,0,0.430525399450214,0,0,1.19400515752669,0,0.320542278741384,0.375533839095799,0.904010739753059,4.40732482029597,4.08472287926119,0.194863499626156,3.94747547610613,0,0.101615540111662,0.0670231798561979,7.65063517998949,0.812543860510203,3.48273817678354,0.389726999252312,0.0670231798561979,6.59576809403063,0.328909859338552,1.60845443818741,2.89166305594088,0.203231080223324,0.345264560149795,1.57376019957061,3.4054644576972,0.70228215777962,4.25336930900883,0.16863871996786,0,0.148239519868909,1.77277007684581,0.180670339469643,0.0670231798561979,2.33075533568289
1976,0.0650212770036836,4.06481289894649,0,0.35790427759233,0,0.384332122320706,0.0650212770036836,0,0.625120514197787,0,0.286512952743111,0.319310845317022,1.51784520054412,3.63700379007631,3.34124824876697,0.397258790612824,3.44390051435872,0,0.130042554007367,0.0650212770036836,7.09531746629853,0.678550711798678,4.24052955555988,0.345738690045398,0.0650212770036836,7.31378569663521,0.0785224534399415,1.77984040559232,3.02198786170994,0.483486880787628,0.339182069598816,1.37041602743257,3.07497966550774,0.384332122320706,3.88656117889548,0.0650212770036836,0,0.300014129179368,0.939210327957553,0.0978191695775953,0,2.26854831793721
1977,0.0624720971933138,5.15867319428248,0,0.249888388773255,0.0421394884980499,0.192132389039328,0.0624720971933138,0,0.528067310053025,0,0.274937094927905,0.124944194386628,1.1384963736645,4.89980586924657,3.33033454566311,0.22027325335253,3.3863229901527,0.124944194386628,0.104611585691364,0,9.48783961897383,0.476352010692694,3.71268210030411,0.263887012958102,0.0624720971933138,7.79268181228699,0,1.57447645110348,2.92986063582514,0.317076583425955,0.615588113400988,1.18078553035586,4.10298757875636,0.670102286783052,4.42447487100528,0.295269703623169,0,0.26241274185058,1.54633558679028,0.0624720971933138,0,2.09016907627249
1978,0.0993069763940869,4.29419995344325,0.0993069763940869,0.333825002291768,0,0.456825389857471,0.198613952788174,0,0.60530186554525,0,0.149444453494482,0.266703466443322,1.40444428706851,3.60108643755731,3.91808837716053,0.406687912757076,3.53896578680188,0.0586295064744203,0.0908149470200615,0.0908149470200615,8.11087668514022,0.726606362600083,3.16261414541663,0.453106757293605,0.0813549398393333,7.32767127551527,0.0728629104653079,1.78299224338594,2.08665454718506,0.35954115551638,0.642260702901051,2.22113768398449,3.27833826391411,0.416147919937804,3.48599858590129,0.190121923414148,0,0.13723379155659,1.27028800181121,0.0643708810912825,0,2.14900268622335
1979,0.0560312069449992,4.24333323564275,0.17185787043408,0.340735105946599,0,0.291417815383053,0,0.1337713923894,0.501331195722622,0,0,0.301865013224398,0.74421533521965,4.32019791889949,2.85714757214111,0.711244576062191,4.3149892955947,0,0.112062413889998,0.0874037686082255,8.22568479600707,0.629802077297089,3.86968930681708,0.242884139497028,0,8.39640594031248,0.1898025993344,1.20077710465533,2.3385933259173,0.165143954052627,0.702395575715078,0.834599738749437,2.64230326484203,0.487119748282194,3.9039186308451,0.306412877501001,0,0.330287908105253,1.59061374109857,0.112062413889998,0,1.97931466832058
1980,0.0371344310348613,3.14618557524355,0.0371344310348613,0.252740685050252,0,0.448697043512245,0.144937558042557,0,0.3066422485541,0,0.236203180336759,0.12817042557357,0.937411281143763,4.26274441159981,3.59366428945183,0.107803127007696,4.12193646569163,0.0539015635038478,0.182071989077418,0.0539015635038478,9.58270890791121,0.570384539904514,3.64661882218771,0.364143978154836,0.151879742734844,9.56170754789387,0.0539015635038478,0.856917637394229,2.67689160540994,0.418275169414177,0.745284716534152,1.49171757184577,2.09477490515828,0.600117530736102,3.91542238772898,0.215606254015391,0,0.233090789496853,1.14990514431925,0.0371344310348613,0,2.67689160540994
1981,0.105980945424823,3.0898138136385,0.194305949828906,0.141315477116494,0,0.277097418968739,0.147881697958543,0,0.512248786103374,0.0297783467772298,0.176650008808166,0.0948912252461313,0.896359836074734,3.8470121677279,3.23620212004322,0.3356214269454,4.79721593951652,0.105980945424823,0.118103351181313,0,10.1278403819688,0.620295102683794,3.66579533490792,0.342210297437641,0.495625530660433,8.46000381629181,0,0.837835828098074,2.51800833398067,0.236206702362626,0.738421103515299,1.39304070196316,2.0188693399112,0.642474543041177,3.86389425692035,0.100447410160573,0.0353345316916717,0.141315477116494,1.17444464132089,0,0.088325004404083,2.59976711754271
1982,0,4.38927782639981,0.211921374196074,0.142802914571537,0.0354674100250829,0.318323604271323,0.0645779199187573,0,0.689419147053109,0.0582210197873488,0.107335504546455,0.296503268980263,0.657584457879283,4.48142846213697,3.15339373513207,0.338327579136754,4.10193200368116,0.0491144847591057,0.211921374196074,0.147343454277317,9.02097756702772,0.668507353333155,3.95736363991736,0.425659108817778,1.96362210570951,8.45041989414584,0.133696379543294,1.3533605050638,2.8713195270901,0.33472031390218,0.6221170478542,1.65445522498321,2.59938622829773,0.401089138629883,3.44432136746861,0.15644998930556,0,0.319256878742529,1.35517686548943,0.0291105098936744,0,2.33383456253687
