"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","urinary.bladder"
"breast",0,0.134698282416293,-0.117635956886982,-0.0954736841187083,0.117074509937828,0.357062434317898,0.0320756214314185,-0.0607731826321049,-0.0719618716994362,-0.192155214266103,0.032316039237855,-0.0109210096895195,-0.265483653812465,-0.154540354426922,-0.144417607480474,-0.0996372219124723,0.137902878769214,0.132167774028661,0.11135592424028,-0.161410062429925,0.142010923527224,-0.020613501398499,0.0258049603324862,-0.146012127748722,0.21468510289511,0.0632851575112904,-0.138349193588051,0.0532467419623762,-0.103501069046437,0.0006331230672802,-0.0279257134012336,-0.0477358653042385,0.0181391745814704,-0.0564127140449856,-0.0108225434590631,0.0431131759096388,0.419967870893286,0.0291490565648218,-0.036978231742676,-0.090073022155217,-0.30638964708841
"colon.and.rectum",0.134698282416293,0,0.0609982467200748,0.0944762150603185,0.529527312965227,0.608789401708863,0.143221470387771,0.103650199732719,0.140006906129819,-0.221332885847497,-0.158453234764248,0.142283786371794,0.112917654243635,-0.503921946677233,0.569721928868845,0.162928219008558,-0.0121400216187227,0.288990956113015,0.296735569604236,0.0157284585884568,0.545957671828408,-0.0910565545931225,0.459902067361879,0.082600053778094,-0.311548857294026,-0.209602836409324,0.164132011029916,0.538682003031424,-0.128966658142861,0.331489037535604,-0.193815734717638,0.42222207266322,0.660003240954783,-0.149858759220167,0.0576210149799208,-0.0168873475712196,0.110105563969124,0.0777106172103185,0.588697541885374,-0.103972636530814,-0.370054723362772
"anus..anal.canal.and.anorectum",-0.117635956886982,0.0609982467200748,0,-0.110497917101169,0.0444394084043675,-0.0022433417818091,-0.119538297489,0.0764140655576295,0.0493710447220565,0.0589040306951119,-0.00454589378337769,0.118620443228042,-0.0779298768750321,-0.118294939155321,0.0777666349801604,0.213737498679687,0.255983775300191,0.207715798641057,-0.200767283133262,0.461539438217389,0.300465780989305,0.271984161974461,0.304571134258202,-0.12719046277492,0.183615082497331,0.094973626545149,-0.202012290806459,-0.246415518729884,0.200175913655846,0.0883241849663283,-0.0722103106787384,-0.0762712095099733,0.156656001771286,-0.177834369871603,-0.107049370198064,-0.162459132869996,-0.0211114824618684,-0.0375678197043164,-0.00869899932100333,-0.241035575013397,-0.250595113722321
"esophagus",-0.0954736841187083,0.0944762150603185,-0.110497917101169,0,0.375218844635672,0.00885343761549462,0.162466350803318,-0.104227133516894,0.24053729682779,0.0491940499022346,-0.0863499407216772,0.222264268168564,0.147661148845177,-0.114992773663753,0.253078435242969,0.132124194683079,-0.0516168294193316,-0.0141355398058884,0.149566513461741,-0.0521660021891886,0.127605589261132,-0.081292348463318,0.229807402507228,0.192509203377589,-0.2408548369761,-0.306192272053057,0.139412045727426,0.248563631610044,0.0417060433665796,0.249532265525542,-0.0346169676456381,0.193495711884091,0.412251299282698,-0.239495777780978,0.0698768495468026,0.191051384075774,-0.0190301473947422,0.0825530297118805,0.283089661817509,0.0218511314195703,-0.171180233630048
"gallbladder",0.117074509937828,0.529527312965227,0.0444394084043675,0.375218844635672,0,0.423650651653626,0.0206877335413663,0.158836619081355,0.147009278525733,-0.102843467708436,-0.0931666937253378,0.208457276113366,0.225266775740188,-0.288635669248324,0.365362582461276,-0.105132279630859,-0.0930089273916321,-0.0908261582970953,0.0937318569116595,-0.0121857205989392,0.436906784310961,-0.194584163637063,0.439098580043803,0.124475056050329,-0.249271419526613,-0.215563612974265,0.073074135007943,0.54798624527387,-0.121046082005754,0.324104809283897,-0.146507953098985,0.365352299783202,0.49674349162424,-0.129160504436144,0.213488233767338,0.116260301968046,0.162159017007503,-0.0155025883346557,0.540706296626542,-0.185982104752291,-0.357154340651196
"liver.and.intrahepatic.bile.duct",0.357062434317898,0.608789401708863,-0.0022433417818091,0.00885343761549462,0.423650651653626,0,0.0758086242227594,0.162719814267141,0.184038956754591,-0.113314083678771,-0.0906211450222066,-0.118754048695473,0.275442263585025,-0.528339360122457,0.423883101225411,0.0559285966959137,0.1097120483676,0.246423275622551,0.147685598178498,-0.0136950060109648,0.527773302107673,-0.238525410741382,0.378055835829704,-0.080361257191422,-0.08176414362842,-0.358489101716818,-0.13136139717252,0.406857540843894,-0.195994625380644,0.245787041269695,-0.117413958633217,0.40899678705305,0.486074932035639,-0.176469350373371,-0.0169519723437231,0.0960327384111613,-0.0386798913534213,0.158125629178652,0.451197147062621,-0.199296193397087,-0.317994306819663
"other.biliary",0.0320756214314185,0.143221470387771,-0.119538297489,0.162466350803318,0.0206877335413663,0.0758086242227594,0,0.0725140238316129,-0.0292637528344802,0.266412610629772,-0.140981191116164,0.235835098809893,0.187856599952038,0.0426550019164947,0.202249776416408,-0.0811102495967789,-0.0549239331280601,-0.0457728719870753,0.542205885861574,-0.207249199786687,0.0205479798901448,-0.121233506760455,-0.108860821438862,0.259748805080286,-0.219047506176981,-0.346679700033847,-0.126322015710717,-0.0280509580197949,-0.0801168455890007,-0.0264978565771107,-0.054613351227298,0.0692241175536424,0.160061727083895,0.117594669555223,0.0847598517277566,-0.0109020257392222,-0.00387420546980736,-0.10520289512073,0.253718891506459,0.0236607670036194,-0.173801354510504
"other.digestive.organs",-0.0607731826321049,0.103650199732719,0.0764140655576295,-0.104227133516894,0.158836619081355,0.162719814267141,0.0725140238316129,0,-0.179845656301511,0.182422277294314,0.0995654632958066,-0.00680524452087179,0.153483358605207,-0.166533351839462,0.0983385480254041,0.15466336012217,0.234155786210095,-0.173056246556542,-0.0936267368196007,0.256461043008437,0.0732146059368805,0.0940088256828334,0.191340289823495,0.0541126484049818,0.140729259344471,-0.0395555352759843,-0.0943462429448023,-0.086609418856868,0.0970093213408503,-0.159041992156824,0.144934168220748,0.0632563730086525,0.14751707670948,-0.175763793606173,0.0629770460886695,0.0350866867039721,-0.0754325122302542,-0.0432977200874577,0.0380221002920735,-0.258928218349996,-0.117887294873746
"pancreas",-0.0719618716994362,0.140006906129819,0.0493710447220565,0.24053729682779,0.147009278525733,0.184038956754591,-0.0292637528344802,-0.179845656301511,0,-0.144834928434933,-0.0847482108352926,-0.110898139094518,0.113170683031576,-0.14305042177158,0.21197849246091,0.326314929483634,-0.132131997114277,-0.0545409687625895,-0.13892188304941,0.0606025774109528,0.0551260138290088,-0.100637758500293,0.121714578074489,0.0449770550614039,-0.292893930973098,-0.168689905956257,-0.138106253841584,0.215677394231879,-0.0920220452448767,0.281005256378092,-0.120276797404076,0.146587079066497,0.331990932234844,0.141406617393435,0.33420131494784,0.166365692907741,-0.0643319486793964,-0.207611084954905,0.292764112083097,-0.082832633038993,0.11794732959805
"peritoneum..omentum.and.mesentery",-0.192155214266103,-0.221332885847497,0.0589040306951119,0.0491940499022346,-0.102843467708436,-0.113314083678771,0.266412610629772,0.182422277294314,-0.144834928434933,0,0.0849014396699101,0.0388168448118255,0.141204948819339,0.160780845582145,0.0374823409375706,-0.09179365541104,-0.069633616242874,0.060182132956291,0.0587172732809057,-0.0710139974776601,-0.0633923819921193,-0.143940046531593,0.072310308209725,0.160194757510451,0.00517132752244728,-0.124024297553334,-0.178046602813589,-0.234186375926547,0.061199124413217,0.0564340782848883,0.0460951162357691,0.0635621871499287,-0.167021386268622,-0.00287177664493435,0.0342115598775787,0.0569957765685805,-0.176639978339295,-0.00661318427099028,-0.100461501060623,0.010772402672118,0.125237435353327
