"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus..nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,0.334341195577828,-0.024580995531898,-0.152102523181513,-0.18079397042831,0.110966599146357,0.262881548997325,0.0910501918052192,0.28660299061695,0.231404865044532,0.0338216046851404,0.0241224824055108,-0.243664161051835,-0.266602261431252,0.284128824426553,0.059873422490714,-0.36904626029186,0.00167395361200998,-0.00831906362860964,-0.40223842286425,0.248981302345668,0.0316917432217628,0.165531057333644,-0.00043057838180869,0.175983240775797,0.156700342646453,-0.432294841335423,0.0217271948854211,-0.0764044153515412,0.296049274167246,-0.0605132830555513,0.440447345552029,-0.34398825101065,-0.291997059346029,0.446653064648902,-0.14842329494453,-0.115702066793652,-0.0336431701443373,-0.187963323021325,0.0322528301377024,0.248516703465581,-0.187435461856226,0.0682136350939414,-0.246450818228174
"colon.and.rectum",0.334341195577828,0,0.0776726071188385,0.0533571127662958,0.0998947792995888,-0.0312693321292912,0.398794738274414,0.251914272681848,0.431151453045632,0.303029556522555,-0.216408349504378,0.215243171287398,0.112894077724728,-0.588450228241072,0.67953657743807,-0.187149539230703,-0.227603948649945,-0.327162316592533,-0.114899856469655,-0.190148137050637,0.510710677647537,0.308021336553243,0.400313746313096,0.25447472657157,0.422111133990643,-0.150917537510314,0.0865544953283915,0.121319280861604,0.292621747734517,0.720679495857613,0.0390128064749782,0.518712444298728,-0.296350918718413,0.380160948026654,0.749817695619022,-0.363616246596924,0.104206997154398,-0.129483475264885,0.038253470505724,-0.0347924113653815,0.63179706309369,-0.115773843422007,0.0145483452986398,-0.364806232332178
"anus..anal.canal.and.anorectum",-0.024580995531898,0.0776726071188385,0,0.328421435157104,0.281190092430269,-0.151862233019087,0.0128136511162291,-0.0527361099217739,0.0956392247367894,0.0230465645527784,-0.260276656939241,-0.0164951273764601,0.196595863958481,-0.0164724973695062,-0.0474995608843198,-0.311687231253316,0.321406415256673,-0.10411773121314,-0.0865845210503625,0.147448018260557,0.0672022658722763,0.0725820782315478,0.141481769400589,-0.0555077929966811,0.143181032679835,-0.125772212811203,0.382095342601295,-0.0511496290328962,-0.16059690333535,0.176333247595438,0.254504031893474,-0.0197983032736315,0.312263219900025,0.221177858249091,0.0380824545646926,-0.291560241999047,-0.112049421761597,0.24146394388727,-0.0707052177318434,-0.220789299685148,0.212269535415331,0.410273694158322,-0.0348330630371673,-0.030821336821388
"esophagus",-0.152102523181513,0.0533571127662958,0.328421435157104,0,0.161474356123167,-0.0584328272168386,-0.0224134855944588,-0.146906641974267,-0.0346491594190659,-0.232995455594849,-0.043979180624902,-0.0447112252387467,0.112500050087246,0.00489048487332374,-0.0766909929367826,-0.0416581298823491,0.265554311817593,-0.337262434736279,-0.00849492999441506,0.321668340542011,-0.0814740501897249,-0.0254033607292618,0.0788916895918493,-0.138215172767689,0.109328081954192,-0.0848286159199082,0.438918119755236,-0.0134841204823036,-0.166850511568454,0.00365559065203497,0.230822173896834,-0.0179921159828609,0.20575518696221,0.33700416207018,-0.0739963588444443,-0.14272289436718,0.152542185281167,0.0661428262713782,0.0873797713146816,-0.177210766193584,0.0419430829143156,0.138417213994835,-0.00832161495033731,-0.306928297583662
"gallbladder",-0.18079397042831,0.0998947792995888,0.281190092430269,0.161474356123167,0,-0.226761036246682,-0.0347986416112873,-0.146160058136686,-0.0903751973419225,0.0546116234882522,-0.107264554883749,0.000936135202815555,0.0773515453289967,0.113589123679264,-0.0587749194236023,-0.304643832506683,0.0577420743586652,0.0921566296381535,-0.143668074309117,-0.175856086294183,-0.0211001000935397,0.409459547790867,0.209422151603009,-0.00373854653285244,0.0133016453813289,-0.0650068930078295,0.211388089406853,-0.00356667704450123,-0.0592640435456977,0.125024993364897,0.362540859163846,-0.00544766042955406,0.0902784674273631,0.0120384434663162,0.0635490752229539,-0.0231831393118579,0.230896102608633,-0.0149495183249025,0.225629577493858,0.0417439395259256,0.0917052666124736,0.111117041623389,0.459428207458771,-0.166928531765393
"liver.and.intrahepatic.bile.duct",0.110966599146357,-0.0312693321292912,-0.151862233019087,-0.0584328272168386,-0.226761036246682,0,-0.061834037028102,0.206346838393769,-0.215423896470207,0.314624958966607,0.0964456067966696,0.070231230203758,-0.096923070514149,0.144382296050204,-0.157290562230934,0.22464413408223,0.107054584409495,-0.204996613417011,0.123374456239561,-0.0313266730281927,-0.286449906701985,0.121927143831047,-0.0195039607866976,0.118732782746899,-0.0991836875210683,0.0147174166415928,0.00674679501804876,0.106572425353524,0.184038302747177,-0.113973635998942,-0.291585390399986,-0.043712156496928,-0.261629702963502,-0.261781721031531,-0.102851227415175,-0.347831558314419,-0.115603335818534,-0.222842495069794,0.0576265081143112,-0.10699292162164,-0.0658593260164244,-0.0524961350224076,0.012702494698528,-0.112528091089874
"other.biliary",0.262881548997325,0.398794738274414,0.0128136511162291,-0.0224134855944588,-0.0347986416112873,-0.061834037028102,0,0.134619451179387,0.289958953746506,0.172818781488231,0.0713157235478735,0.364440609110875,0.0616305279297952,-0.434817526684815,0.281629382738637,-0.0731992786317676,-0.223636517871481,-0.170553961513443,-0.0222930782783666,0.0293361559913174,0.242807146687338,0.0645905823718869,0.265920592663078,0.495369614179515,0.247764538171194,0.0560694583778743,0.0820581283380319,0.176533746148748,0.0812775547118758,0.451812842297585,0.101143785334176,0.244813332550352,-0.109138223613083,0.0461713062510218,0.460979356062536,-0.208951301369418,-0.102546139953117,-0.349654462172528,-0.00820911110118063,-0.111032676415782,0.347382706253129,-0.188332178082967,-0.152958464118008,-0.20354796229381
"other.digestive.organs",0.0910501918052192,0.251914272681848,-0.0527361099217739,-0.146906641974267,-0.146160058136686,0.206346838393769,0.134619451179387,0,0.210737693936784,0.187325317276467,0.0915859650775873,-0.0284349808292518,-0.0312205951375044,-0.34366246749989,0.232043463147462,-0.109803326929139,-0.124214035213911,-0.221058160428503,0.169264901270208,-0.072668546465343,0.167022134949434,0.181104412022404,0.100028240367638,0.0719154355457926,0.0515259465660935,-0.202070996678564,-0.112513019495889,0.307129262678789,0.197752890669058,0.230162910882274,-0.26480790050948,0.301501000025983,-0.151810297245825,-0.0132525362227853,0.273881468831392,-0.285153644516578,-0.111668679558449,0.126437337644928,0.00089395709438054,-0.0924987411549002,0.047768886726153,0.303655869815684,-0.104768017115969,-0.116050571394803
"pancreas",0.28660299061695,0.431151453045632,0.0956392247367894,-0.0346491594190659,-0.0903751973419225,-0.215423896470207,0.289958953746506,0.210737693936784,0,-0.171821735816727,-0.0745436769678436,-0.0291293429581901,0.132922217459268,-0.373107839373655,0.280087304870461,-0.125905208306256,-0.163756163297432,-0.243431733638993,-0.149389555189498,-0.210685232627494,0.364693669100485,0.117803769739596,0.271085867858908,0.0949860458179298,0.15664144446695,-0.062792411680437,-0.127624056064022,0.10214343288509,0.0621250906131026,0.394145135005558,0.246148381557954,0.337742986732003,-0.232693736526201,0.322573591877109,0.523055153110226,-0.268101600356133,-0.153283057165867,-0.0416229517111614,0.158710044149542,-0.218385438758853,0.243809383874375,0.017820595862809,-0.207637650372894,-0.294557773044631
"peritoneum..omentum.and.mesentery",0.231404865044532,0.303029556522555,0.0230465645527784,-0.232995455594849,0.0546116234882522,0.314624958966607,0.172818781488231,0.187325317276467,-0.171821735816727,0,0.1193998060588,0.317789491996763,0.0706343326280115,-0.123554085324502,0.276971548442181,-0.0855546144104974,-0.0541280549569139,0.00238645816175266,0.147774021224447,-0.0459797880465891,0.198751973257572,0.159062447440773,0.189186688905114,0.172606485444316,0.0568858799200593,-0.141921745866755,-0.085400205515086,0.0193380576706774,-0.0619467659304896,0.186633757436484,-0.10697165028388,0.087743423102197,-0.211547578237504,-0.270558942853984,0.220890793406823,-0.0632719249340712,-0.126436639483796,-0.130373908072858,-0.0882289867122728,0.338977693573188,0.247699729998287,0.0288949056268208,0.394271951918256,0.088064035381234
"retroperitoneum",0.0338216046851404,-0.216408349504378,-0.260276656939241,-0.043979180624902,-0.107264554883749,0.0964456067966696,0.0713157235478735,0.0915859650775873,-0.0745436769678436,0.1193998060588,0,-0.00956403480361906,-0.0781937131765101,0.0652668540392951,-0.236177133243362,0.266664644165538,0.147484973190808,0.0972134436965026,0.197634831261205,0.0489607446197165,-0.185881966682279,0.0537861335384064,-0.130461274663112,-0.058972074655588,-0.330032983011225,-0.0578916284938006,0.08752492273999,0.00352570894222031,-0.125751880410435,-0.234122293113112,-0.104914267548473,-0.00410100238794038,-0.0138538535701256,-0.244273378109756,-0.12043728846668,-0.186575900193572,-0.39324885138932,0.0792976321250458,0.168014646592963,0.0694430206982556,-0.248840361316886,-0.00543179627243189,0.00249360869553924,-0.0269416749662711
"small.intestine",0.0241224824055108,0.215243171287398,-0.0164951273764601,-0.0447112252387467,0.000936135202815555,0.070231230203758,0.364440609110875,-0.0284349808292518,-0.0291293429581901,0.317789491996763,-0.00956403480361906,0,0.153214841946633,-0.256130068306567,0.370273946769991,0.0766172580998627,-0.13404870684009,-0.127547137423536,0.154254893778762,0.127394443910401,0.125832126907656,0.165320031633864,0.25256418101102,0.143381736697387,0.149412870998897,-0.0365398421404724,-0.0399038795038352,0.0885934471361015,-0.201734749575153,0.279658616505782,-0.193064516294583,0.205172630911584,0.109874250164443,0.0141005673770432,0.26299898389921,-0.134884033329486,0.139810268380278,-0.25629268438501,0.0402245799278441,-0.143025956994826,0.454724609469205,-0.0700658672443175,-0.125464652438767,-0.0166350368154414
"stomach",-0.243664161051835,0.112894077724728,0.196595863958481,0.112500050087246,0.0773515453289967,-0.096923070514149,0.0616305279297952,-0.0312205951375044,0.132922217459268,0.0706343326280115,-0.0781937131765101,0.153214841946633,0,-0.443016271853532,0.175085489126555,-0.4119647243938,0.00827808163005193,-0.386747150681082,-0.16160965890618,0.0513985923890833,0.0345018349464726,-0.0712506136319976,0.316238448104446,0.211961469611306,0.372293594294317,-0.0236774087071129,0.288048626290784,0.434369154237276,-0.146495977159952,0.272202398533087,0.294040442507086,0.118218762571735,0.280351835229508,0.341818772920267,0.303762851058844,-0.172903816340796,0.0221632692995739,-0.0149028292592598,-0.0663457778568414,0.0087414131215616,0.388735378775785,0.167740147185073,-0.145876885672072,0.0813198614391528
"cervix.uteri",-0.266602261431252,-0.588450228241072,-0.0164724973695062,0.00489048487332374,0.113589123679264,0.144382296050204,-0.434817526684815,-0.34366246749989,-0.373107839373655,-0.123554085324502,0.0652668540392951,-0.256130068306567,-0.443016271853532,0,-0.588963248801745,0.307124477125548,0.400822230717024,0.338389486828234,0.0365052249011786,0.214828616010961,-0.569475954154113,-0.101439259634305,-0.439408208688024,-0.246195077530078,-0.697965606878018,-0.0847835227909904,0.0745002024698814,-0.548529032742364,-0.0260204869529051,-0.7395773649394,-0.0726733009537961,-0.597986682379456,0.0696403811293018,-0.233464265482263,-0.807422761669012,0.312115489562857,0.0942171065016572,-0.141193766414449,0.0289867772548965,0.191186994287671,-0.686195667092686,0.139189453659374,0.232680411288506,0.278617477400669
"corpus.and.uterus..nos",0.284128824426553,0.67953657743807,-0.0474995608843198,-0.0766909929367826,-0.0587749194236023,-0.157290562230934,0.281629382738637,0.232043463147462,0.280087304870461,0.276971548442181,-0.236177133243362,0.370273946769991,0.175085489126555,-0.588963248801745,0,-0.113897444543404,-0.337358949142979,-0.203801735253385,0.042385113962882,-0.0931132577677066,0.579861658239798,0.197620226334053,0.345418215427286,0.197389265754202,0.399256047101149,-0.0865110768751089,-0.0619507921663704,0.15302137755272,-0.0033540101691288,0.598251464770385,-0.0954389448210449,0.540054295977117,-0.160993830420796,0.299481766391941,0.699879404981227,0.0734497784895876,0.241200359010063,-0.0445929364150867,0.0350405405557671,-0.064692953873724,0.669806139984358,-0.0470868467076438,-0.178743348176452,-0.094509381796858
