"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","cervix.uteri","corpus.and.uterus..nos","other.female.genital.organs","ovary","vagina","vulva","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,0.178842359540926,0.114812501563185,0.0925092271514482,0.322446642974222,0.253802049051787,0.229045370598114,0.109219590424145,0.198909115854282,-0.0115181432734317,0.210643833350833,-0.0225581813922724,0.118898275469686,-0.358663415509877,0.221852325813668,0.0487894106219475,-0.304401277722718,0.332958594791516,0.0114005078689443,0.0186990337608269,0.3310078763913,0.213091333255114,0.0618386786347618,0.128188812792038,0.274058607169328,0.0661140934463189,-0.263220856948156,0.34328613081953,-0.108064995723029,0.281633814362301,0.00807315948575617,0.117360514798742,0.0399682561432941,-0.239175275078173,0.25236556493998,-0.175693546508018,-0.326808186032141,0.214224396109747,-0.319779846212464,-0.0266695168060256,0.206023471562293,0.0359195721872372,-0.0954774188273311,0.0437645304287459
"colon.and.rectum",0.178842359540926,0,0.158203327134377,-0.00686931101962184,0.408943691798099,0.342204001468943,0.151499208773341,0.139688257682756,0.736968061099372,0.142401761069034,0.16999521217974,0.504259967129746,0.414683416480709,-0.501839182003193,0.799152221296527,-0.00892011600423267,-0.545362483946425,-0.20731797434379,-0.211698226753697,0.0735269100110863,0.593555613407888,0.379668048363842,0.461146757451687,0.210625385160672,0.582107779984528,0.0759831458011108,-0.137485119275687,0.495660226821659,0.261875087650216,0.673058243962968,0.367519043040192,0.615108182489027,-0.11226308663976,0.467593438704998,0.830830379897163,-0.279165812357189,-0.589022503285649,0.193497004003757,-0.241593326731646,-0.331933958431833,0.796413262781114,-0.179089524135851,-0.0219939569092698,-0.277582003191595
"anus..anal.canal.and.anorectum",0.114812501563185,0.158203327134377,0,0.0916317664803892,0.281565224790615,0.064639224938785,0.163932525456741,0.0255308434662893,0.0444367615811926,0.264027294078474,0.0317207011464636,0.134680642722417,0.115953385910071,-0.424505181157778,0.0690092407182573,-0.398407402328617,0.008593991790912,-0.0109269889773335,-0.0945561613649827,0.489753450665543,0.093282017212326,0.137734010969654,0.39370011091908,0.220685695358939,0.331402788126891,-0.121868434530226,0.319284329468638,0.525191311732182,0.0959717978962343,0.388643001427831,0.218010422504116,0.229741871916367,0.268399611648837,0.0459477021853775,0.314160060038178,-0.330336377634642,-0.423121360269786,0.388266459099082,0.0335761210301172,-0.261453688290693,0.333604419404716,-0.0877589047458765,-0.101379951989021,-0.236647073502142
"esophagus",0.0925092271514482,-0.00686931101962184,0.0916317664803892,0,0.179470109761017,0.0708970946725196,-0.277203303860811,0.11562234666119,-0.0701790935801085,0.135029916132496,0.0268577227896416,-0.111171928991099,-0.17229243928317,0.0178979766052556,-0.106746010641343,-0.0282632568883664,0.08869722685368,0.152561098190147,-0.0971197575210164,-0.0387826753193336,0.00350949139485242,-0.0861674583566571,-0.0597534831385129,0.0407591692161419,0.00509823046555009,-0.0831764930841931,-0.199246029670517,-0.0122535610594089,0.0992782281597144,-0.0372068053242769,0.125107068593768,-0.0237132152832528,-0.248633548712751,-0.249862628218069,-0.057544538645059,0.232042815593728,0.10396438302143,-0.108465576083863,0.105775017538863,0.0858363176360231,-0.134746334624731,0.110543263138026,0.249367247196788,-0.101991481803611
"gallbladder",0.322446642974222,0.408943691798099,0.281565224790615,0.179470109761017,0,0.132933258448868,0.334089321470381,-0.0563585922642314,0.31747927817819,0.149008020279234,0.342799358197707,0.210053758288025,0.347102329673383,-0.443208579549293,0.427336492524483,-0.0232348702547623,-0.287718348220683,0.067762503305977,-0.117224541646434,0.256198245003116,0.206660883798117,0.269226120026204,0.343185384280771,0.174219665366071,0.601323564411777,0.10662551165205,0.00338411587295245,0.4022215957477,0.201859928075914,0.450688410046988,0.38886246644123,0.335025800345977,0.0212394964686226,0.270277643992209,0.480113717419356,-0.343715443981542,-0.386567103610483,0.259976089605038,-0.0895337463302335,-0.240690314927675,0.469847348912886,-0.1963061272868,-0.192728608966304,-0.180998184079658
"liver.and.intrahepatic.bile.duct",0.253802049051787,0.342204001468943,0.064639224938785,0.0708970946725196,0.132933258448868,0,-0.112139150088822,0.0525937300456218,0.174747853328586,-0.0312867128994087,0.0855370333193833,0.205259730671101,0.269505750799249,0.0262955003536952,0.364347055543781,-0.02095897108785,-0.271429042324741,-0.148815943565111,-0.175665801459299,-0.217244974429067,0.200724514926105,0.219196281793224,0.0660939728074871,0.0563333389436514,0.196308269547714,-0.0862270137749659,-0.327244763383072,0.102361915209554,-0.168191505085906,0.212110117357537,0.188285856856024,0.0684959906451205,-0.30055274908924,0.219983977511719,0.314899698985583,0.197266259557797,-0.305286371693908,0.279585672313017,0.19025491974659,-0.00548375750533262,0.328069149260284,-0.154381240931696,-0.0929714070048224,0.060633788479009
"other.biliary",0.229045370598114,0.151499208773341,0.163932525456741,-0.277203303860811,0.334089321470381,-0.112139150088822,0,0.0272020045957907,0.190669846384399,0.174364944147639,0.0909578122636684,0.189157473300166,0.0880284324502384,-0.350230897951528,0.0793883675914938,-0.153744097317824,0.0299770181221442,-0.0614770076272956,0.240568569595485,0.319917621926548,0.0254412980827494,0.124888388430588,0.233907277075296,0.0367742701834308,0.286440723386262,0.0338829418777284,0.220581111009133,0.334261213880066,-0.00996891480870228,0.191621971315093,0.0379225406852421,0.174201046929936,0.227473316592159,0.165733601565335,0.183518526544097,-0.14286468418596,-0.260106591926834,0.254904432118703,-0.262794408674597,-0.199500620516874,0.223032227640146,0.0136883668378557,-0.468598745707452,0.0340459800283181
"other.digestive.organs",0.109219590424145,0.139688257682756,0.0255308434662893,0.11562234666119,-0.0563585922642314,0.0525937300456218,0.0272020045957907,0,0.10947871146759,-0.0728869772668166,-0.114024125901315,0.131348606456398,0.151133337233189,-0.123182455000879,0.137253110280753,-0.0248324397499651,-0.228776610324089,0.0174427066445835,-0.21900308488302,-0.0759874473773397,0.229010823133952,0.0618919827860291,0.0109883120227215,-0.0433273934448657,0.103318580819902,-0.0973634794580026,-0.194906807598409,0.210877263401482,-0.0105892428476667,0.0112086774705144,0.141413488357583,0.191989709916529,-0.267646119999165,-0.02344563682143,0.155492758805051,0.0271868510639871,-0.0793506315474991,0.0565456130945733,-0.368704496981535,0.0187343426882621,0.208505618393202,0.204123121798858,0.221172502472182,0.0597701565070002
"pancreas",0.198909115854282,0.736968061099372,0.0444367615811926,-0.0701790935801085,0.31747927817819,0.174747853328586,0.190669846384399,0.10947871146759,0,-0.0663261821017758,0.195123116457501,0.252206481727988,0.263671440470243,-0.367869903690219,0.610274891415429,-0.0423136884981096,-0.453543464871271,-0.0638298046259743,-0.156027842280292,0.0851585053333563,0.541799985836284,0.325989517746879,0.206421819839975,0.0448784045980957,0.376191993371373,0.165075629874187,-0.183148156500431,0.365884990219987,0.137323933299375,0.42751810415929,0.285135047827133,0.538174980142519,-0.0268494818827082,0.412684484088976,0.613011369008128,-0.115905719841333,-0.454697659238981,0.342458053593034,-0.139317048509053,-0.285331833799492,0.57755398906338,-0.0879746497719511,-0.177844891079034,-0.156908230173173
"peritoneum..omentum.and.mesentery",-0.0115181432734317,0.142401761069034,0.264027294078474,0.135029916132496,0.149008020279234,-0.0312867128994087,0.174364944147639,-0.0728869772668166,-0.0663261821017758,0,-0.0766794344264836,0.24942626177926,0.154260631691196,-0.298129989740438,0.00153801963016108,-0.221048615174816,0.270321271441771,-0.0132801583902989,0.356097892139726,0.446884294458537,-0.108647368282947,-0.00111785847375114,0.457933661362634,0.291604671115699,0.165220743451348,-0.0929369251305752,0.394782887784639,0.289498058854947,0.093087497224161,-0.0278076209302847,-0.0848417282662783,0.0533460292729643,0.161118676155136,-0.0784808268979219,0.152577315912024,-0.0952894065064325,-0.22195474744325,-0.0948453531406032,0.0367997132226981,-0.198898817357135,0.200655151151917,-0.398132742667737,0.0638882552587451,-0.0634460286636234
