"","breast","colon.and.rectum","anus..anal.canal.and.anorectum","esophagus","gallbladder","liver.and.intrahepatic.bile.duct","other.biliary","other.digestive.organs","pancreas","peritoneum..omentum.and.mesentery","retroperitoneum","small.intestine","stomach","hodgkin.lymphoma","leukemia","myeloma","non.hodgkin.lymphoma","other.male.genital.organs","penis","prostate","testis","bones.and.joints","brain.and.other.nervous.system","eye.and.orbit","kaposi.sarcoma.","melanoma.of.the.skin","mesothelioma.","miscellaneous","oral.cavity.and.pharynx","other.endocrine.including.thymus","other.non.epithelial.skin","soft.tissue.including.heart","thyroid","larynx","lung.and.bronchus","nose..nasal.cavity.and.middle.ear","pleura","trachea..mediastinum.and.other.respiratory.organs","kidney.and.renal.pelvis","other.urinary.organs","ureter","urinary.bladder"
"breast",0,0.162642158699071,0.0366050750384345,0.0545302276251613,-0.333395994932242,0.0218501906680804,0.0577885300017984,-0.0599116001860397,-0.0535092544377799,0.470238576082556,-0.104402462213392,-0.0348502780810784,0.315735333024366,-0.240607531793876,0.0504498788068492,0.165901953933872,0.096865959544099,0.148194277856076,-0.0972417315159913,0.253017833347166,0.269038630863798,-0.118307248952888,0.166905261834683,-0.218679794738876,-0.0154119799869252,0.107258513161507,-0.165764645518153,0.0484572664044483,-0.106910465285435,-0.0257059766280147,0.150955167785113,-0.0487234629743723,-0.000174732234455124,0.135562680214395,-0.254084978248046,0.00993773702308453,-0.128945332493572,0.0781845091541727,0.0904561240510424,-0.0580695718147486,-0.0783502582299922,-0.301719244392982
"colon.and.rectum",0.162642158699071,0,0.11008438154557,0.0625878621226201,0.216746771214129,0.257307883384511,0.19363287035336,0.277067408475614,0.0229941663937208,0.0845261728484123,-0.0977569043847268,0.323286630200105,0.301390533349229,-0.379559686657729,0.467355569983408,0.486308152388609,-0.127005537187817,0.317084201239861,0.0400231851655392,0.490444415994209,0.450651518123632,-0.0310486833244663,0.514454616069027,-0.174145793550708,-0.398181582344607,-0.339828458579529,0.0506606307380706,0.567082202491028,-0.130434273676484,0.284728641426556,0.0390248577584468,0.55905695727095,0.762760996047135,-0.136697946660018,-0.294111044824953,0.392718306144517,-0.0420208859927978,0.114663261042398,0.736895730685075,-0.0815137345145794,-0.152659795629238,-0.64911492560532
"anus..anal.canal.and.anorectum",0.0366050750384345,0.11008438154557,0,0.225829844821944,-0.0103474399675985,0.377733350548155,0.131664364858116,0.243032453367186,-0.046585310158778,-0.0189191634479539,-0.0555201781018884,-0.127695220287767,0.122817163563272,-0.0781689092666767,0.182400057453099,0.150509595177073,0.604158505608628,0.109501087648192,0.125065309975802,0.278576421682397,0.518913567610172,-0.258164407752343,0.0352492894688189,-0.334151254062405,0.419980646650732,0.13755162836905,-0.196456197072944,0.0118664232767221,-0.262457657039761,-0.115055585180501,0.282105843627234,0.171374825627342,-0.193720497588151,-0.161291129266636,-0.558304486220569,0.23151224236497,-0.103848131978971,0.132441406061258,0.0616846585705481,0.0195424896169431,-0.0183932498982009,-0.36773603899342
"esophagus",0.0545302276251613,0.0625878621226201,0.225829844821944,0,0.0743011612436743,0.115424683735334,-0.065153854929602,0.303907345175571,-0.0939595727746808,0.182128206607511,0.0813984489983459,0.208789893555866,0.166341470301503,-0.0473687072959487,0.227568390354675,0.401635127012816,0.15629855254123,0.338429774226031,-0.0720572806058829,0.330179329992904,0.340002118722679,-0.209125186289243,0.19481408221155,-0.304765798020824,0.0648410986928187,0.0550633509226338,-0.24369800013116,0.111709775292922,-0.355332431236112,0.016760103755043,0.162405570056545,0.0238318740286979,0.017049951829009,-0.124585244310462,-0.311852045104435,0.165144590236105,-0.261745910075375,0.147355832368728,0.171830776676491,0.163878655672796,-0.198360803136652,-0.28317593647832
"gallbladder",-0.333395994932242,0.216746771214129,-0.0103474399675985,0.0743011612436743,0,0.17735304122371,0.00578897102517301,-0.0736489620316937,-0.26008806747301,-0.160269341239874,0.000747011124545146,-0.0597945424423806,0.0380852693251511,-0.134380049874709,0.295176236289952,0.185994907226579,0.0207742647604568,0.226229945254852,0.0331219108695182,-0.0133988304084359,0.100421883520749,0.151737932891793,0.200462823923319,-0.0118566328347621,-0.165734703802579,-0.273703911954889,-0.267491139035045,0.0296723567978924,0.158926588606785,-0.00537766703012613,-0.260559269551801,0.250295103585337,0.171869283237368,-0.251874447152842,-0.164894072122549,0.0356977875840045,-0.18926688282352,-0.203882285738814,0.142454327530173,-0.210350285899077,-0.176681760342966,-0.325054449333094
"liver.and.intrahepatic.bile.duct",0.0218501906680804,0.257307883384511,0.377733350548155,0.115424683735334,0.17735304122371,0,0.0534066856653572,0.0708156118810318,0.07333387570304,0.321997489498459,-0.0918071963814375,0.180207185263714,0.0333537584994435,-0.10115302854759,0.156699976285947,0.149862795602514,0.217561935482809,0.142166768814947,0.302330648967196,0.261020715603046,0.395377565199492,-0.0417161092023191,0.306648926803303,-0.377248154070647,0.0533966385637311,-0.168782522007146,-0.111239378251567,0.228917152288763,-0.0724582202302982,0.111041943332542,0.0824399380676724,0.151342843613875,0.105791845876571,-0.175733831955837,-0.293231511000649,0.215455849561444,-0.0137664959093949,0.00990256470022581,0.363004745923121,-0.100888165491727,0.0384178621129473,-0.368761095221996
"other.biliary",0.0577885300017984,0.19363287035336,0.131664364858116,-0.065153854929602,0.00578897102517301,0.0534066856653572,0,-0.027547544445474,-0.147211939083125,-0.101310733908294,-0.194486655445864,-0.0254316346062277,0.390143246407987,-0.0332384061172424,0.255433422049498,0.22963405758672,-0.224187897886833,0.0212056430489225,0.218446376247808,0.0629700384039613,0.238074329883413,-0.112104047998638,0.27022914761062,0.0370753697619119,-0.150709844095192,-0.184170264751038,-0.0525867335180043,0.191677732965657,-0.07338416647632,0.025104773169348,0.0531807662761758,0.317863640623292,0.232688375167505,-0.125901897639336,-0.314895711879021,0.186921841363798,0.235042040999521,-0.189411859840583,0.39147571653656,0.0763786390008624,-0.0319694540201283,-0.148403979322481
"other.digestive.organs",-0.0599116001860397,0.277067408475614,0.243032453367186,0.303907345175571,-0.0736489620316937,0.0708156118810318,-0.027547544445474,0,-0.0669130400133321,-0.0667595679273483,-0.181515128769016,-0.0548307932430861,0.0335740981885021,0.0471098223574291,-0.0689442610561042,0.0224972759411356,-0.0719558421858721,-0.0636337871470484,0.11180679934235,0.209063661382402,0.0784465663184893,-0.217922704929777,-0.0273969715986982,-0.0935978296073242,-0.240883906076816,0.0268561013591903,0.139603464831302,0.360063846265427,-0.259860344694532,0.229259330381259,0.0481033284675516,-0.0641447088449712,0.211565437265999,-0.210159498278703,-0.159619767149126,0.456131363162784,-0.0968275125230238,0.355411924088282,0.0853050185097874,-0.0999609717214183,-0.047092534156734,-0.262657336746069
"pancreas",-0.0535092544377799,0.0229941663937208,-0.046585310158778,-0.0939595727746808,-0.26008806747301,0.07333387570304,-0.147211939083125,-0.0669130400133321,0,0.0817257119543321,0.0830723144211714,0.345349834969723,-0.168300038130586,0.384785747478465,0.0161290951994797,-0.18465033869004,-0.0907368403043135,0.17409969760891,0.0432758700677591,0.030282760198872,-0.144957911559698,0.412508588575345,-0.0687509366818235,-0.361409975193706,-0.0191569491039169,-0.108860573948314,0.177683151342769,-0.0142678264568762,-0.191253865597758,0.0575248636500126,-0.130580966406318,0.0590689960005934,0.0906330994763845,-0.266079556196489,0.213532836925446,0.0195115708133106,-0.137045532248955,-0.115607991400025,0.196355406589887,-0.147228024789696,0.503888860585764,0.13609597172102
"peritoneum..omentum.and.mesentery",0.470238576082556,0.0845261728484123,-0.0189191634479539,0.182128206607511,-0.160269341239874,0.321997489498459,-0.101310733908294,-0.0667595679273483,0.0817257119543321,0,0.0809018008959615,0.150885520912663,-0.0323760643498407,-0.123033968427733,-0.114615646913161,0.0706982104380751,0.0638295074049317,0.324483446258911,-0.0358024452257056,0.314403575031665,0.216863525109479,-0.0462345121538526,0.279843194577339,-0.184957727647978,-0.0338538146475674,0.139552271387778,-0.19433129235946,0.0615912396997654,0.029897744841602,0.0799443399481888,0.167456977877873,0.00193759601072305,0.0792076224663843,-0.0859995179262857,-0.14973093035003,-0.00695795281379301,-0.099205928037915,-0.121931117138305,0.238382141687086,-0.176415922323411,-0.00322938904924092,-0.266936658896861
